bowler,phase,legal_balls,overs,total_overs,phase_usage_probability
G Coetzee,death,156,26.0,79.16666666666667,0.32842105263157895
G Coetzee,middle,147,24.5,79.16666666666667,0.3094736842105263
G Coetzee,powerplay,172,28.666666666666668,79.16666666666667,0.3621052631578947
GB Hogg,death,113,18.833333333333332,105.16666666666666,0.17908082408874804
GB Hogg,middle,464,77.33333333333333,105.16666666666666,0.7353407290015848
GB Hogg,powerplay,54,9.0,105.16666666666666,0.0855784469096672
GC Smith,death,6,1.0,3.8333333333333335,0.2608695652173913
GC Smith,middle,17,2.8333333333333335,3.8333333333333335,0.7391304347826088
GD McGrath,death,67,11.166666666666666,42.666666666666664,0.26171875
GD McGrath,middle,19,3.1666666666666665,42.666666666666664,0.07421875
GD McGrath,powerplay,170,28.333333333333332,42.666666666666664,0.6640625
GD Phillips,death,23,3.8333333333333335,27.499999999999996,0.13939393939393943
GD Phillips,middle,134,22.333333333333332,27.499999999999996,0.8121212121212121
GD Phillips,powerplay,8,1.3333333333333333,27.499999999999996,0.04848484848484849
GF Linde,death,10,1.6666666666666667,54.83333333333333,0.030395136778115506
GF Linde,middle,235,39.166666666666664,54.83333333333333,0.7142857142857143
GF Linde,powerplay,84,14.0,54.83333333333333,0.25531914893617025
GHS Garton,death,24,4.0,18.0,0.2222222222222222
GHS Garton,middle,17,2.8333333333333335,18.0,0.1574074074074074
GHS Garton,powerplay,67,11.166666666666666,18.0,0.6203703703703703
GJ Maxwell,death,107,17.833333333333332,295.6666666666667,0.06031567080045095
GJ Maxwell,middle,1247,207.83333333333334,295.6666666666667,0.7029312288613303
GJ Maxwell,powerplay,420,70.0,295.6666666666667,0.2367531003382187
H Klaasen,middle,6,1.0,1.0,1.0
HF Gurney,death,77,12.833333333333334,32.833333333333336,0.39086294416243655
HF Gurney,middle,42,7.0,32.833333333333336,0.21319796954314718
HF Gurney,powerplay,78,13.0,32.833333333333336,0.3959390862944162
HH Pandya,death,530,88.33333333333333,514.8333333333334,0.17157656199417284
HH Pandya,middle,1801,300.1666666666667,514.8333333333334,0.5830365814179346
HH Pandya,powerplay,758,126.33333333333333,514.8333333333334,0.2453868565878925
HV Patel,death,963,160.5,459.33333333333337,0.3494194484760522
HV Patel,middle,1382,230.33333333333334,459.33333333333337,0.5014513788098693
HV Patel,powerplay,411,68.5,459.33333333333337,0.14912917271407836
Harbhajan Singh,death,327,54.5,605.6666666666667,0.0899834892680242
Harbhajan Singh,middle,2506,417.6666666666667,605.6666666666667,0.6895982388552558
Harbhajan Singh,powerplay,801,133.5,605.6666666666667,0.22041827187671983
Harpreet Brar,death,50,8.333333333333334,135.16666666666666,0.06165228113440198
Harpreet Brar,middle,608,101.33333333333333,135.16666666666666,0.749691738594328
Harpreet Brar,powerplay,153,25.5,135.16666666666666,0.18865598027127006
Harshit Rana,death,171,28.5,121.0,0.23553719008264462
Harshit Rana,middle,209,34.833333333333336,121.0,0.2878787878787879
Harshit Rana,powerplay,346,57.666666666666664,121.0,0.4765840220385675
I Sharma,death,486,81.0,403.3333333333333,0.20082644628099175
I Sharma,middle,452,75.33333333333333,403.3333333333333,0.18677685950413223
I Sharma,powerplay,1482,247.0,403.3333333333333,0.6123966942148761
I Udana,death,197,32.833333333333336,101.33333333333334,0.32401315789473684
I Udana,middle,218,36.333333333333336,101.33333333333334,0.35855263157894735
I Udana,powerplay,193,32.166666666666664,101.33333333333334,0.31743421052631576
IK Pathan,death,479,79.83333333333333,355.0,0.2248826291079812
IK Pathan,middle,736,122.66666666666667,355.0,0.3455399061032864
IK Pathan,powerplay,915,152.5,355.0,0.4295774647887324
IS Sodhi,death,228,38.0,279.0,0.13620071684587814
IS Sodhi,middle,1376,229.33333333333334,279.0,0.8219832735961768
IS Sodhi,powerplay,70,11.666666666666666,279.0,0.04181600955794504
Imran Tahir,death,376,62.666666666666664,308.8333333333333,0.20291419320021586
Imran Tahir,middle,1393,232.16666666666666,308.8333333333333,0.751753912574204
Imran Tahir,powerplay,84,14.0,308.8333333333333,0.04533189422558014
Ishan Kishan,death,1,0.16666666666666666,0.16666666666666666,1.0
J Botha,death,166,27.666666666666668,198.5,0.13937867338371118
J Botha,middle,824,137.33333333333334,198.5,0.6918555835432411
J Botha,powerplay,201,33.5,198.5,0.16876574307304787
J Little,death,139,23.166666666666668,99.16666666666667,0.23361344537815126
J Little,middle,222,37.0,99.16666666666667,0.373109243697479
J Little,powerplay,234,39.0,99.16666666666667,0.39327731092436974
J Overton,death,108,18.0,62.5,0.288
J Overton,middle,198,33.0,62.5,0.528
J Overton,powerplay,69,11.5,62.5,0.184
J Theron,death,139,23.166666666666668,52.16666666666667,0.4440894568690096
J Theron,middle,97,16.166666666666668,52.16666666666667,0.30990415335463256
J Theron,powerplay,77,12.833333333333334,52.16666666666667,0.2460063897763578
JA Duffy,death,138,23.0,94.33333333333333,0.24381625441696114
JA Duffy,middle,113,18.833333333333332,94.33333333333333,0.19964664310954064
