venue,phase,four_modifier,six_modifier,wicket_modifier
M.Chinnaswamy Stadium,powerplay,1.044907041987157,1.1934709763777394,1.0847703576264862
MA Chidambaram Stadium,death,0.7364099814155334,1.140102560340316,0.7106691630955335
MA Chidambaram Stadium,middle,0.8666132328429595,0.5556652236652246,1.0000516051605166
MA Chidambaram Stadium,powerplay,0.8660643722102987,1.1279278063384175,1.2299817509279125
"MA Chidambaram Stadium, Chepauk",death,0.9160377299264332,0.828675985849812,0.9878392478175484
"MA Chidambaram Stadium, Chepauk",middle,0.8791324607717916,0.7888161892821888,0.8989700176134355
"MA Chidambaram Stadium, Chepauk",powerplay,0.9662405751365223,0.6953188134600942,0.8513524029474331
"MA Chidambaram Stadium, Chepauk, Chennai",death,0.910116062260652,0.8476793336688047,1.010873458790174
"MA Chidambaram Stadium, Chepauk, Chennai",middle,0.8632681767190046,0.8896448861267718,1.0835271111093918
"MA Chidambaram Stadium, Chepauk, Chennai",powerplay,1.0705676000947664,1.0403919715317664,0.8984491689706655
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",death,0.9377976634109505,1.0422002378153883,1.0355743049158148
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",middle,0.995512926511209,0.980174711164164,1.1835450948409751
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",powerplay,1.0394636555785466,0.9187886643159124,1.3394974909654995
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",death,0.9895089525969651,1.4798059563933121,0.7842863344846255
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",middle,1.071443853275113,1.6949295239661608,0.9976920080067708
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",powerplay,1.2547132932119953,1.8,0.7477713929797523
Maharashtra Cricket Association Stadium,death,1.0184619156034984,1.0773761590318205,0.9855764002357612
Maharashtra Cricket Association Stadium,middle,0.9411133747653616,0.8112275909523942,0.982782366205572
Maharashtra Cricket Association Stadium,powerplay,0.995815393013085,0.8713815013989161,1.00738520131765
"Maharashtra Cricket Association Stadium, Pune",death,0.8995022179816025,1.2890382643966156,1.0055439580922891
"Maharashtra Cricket Association Stadium, Pune",middle,0.9875652955658752,1.2291220382129495,1.3158610455640152
"Maharashtra Cricket Association Stadium, Pune",powerplay,0.7394355644007726,0.9701853472594629,0.8879982048921818
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",death,1.0520717933913362,0.7805538965966935,0.7288865900807118
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",middle,0.8463040383569356,0.7039781303104182,1.1041000651789308
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",powerplay,0.9135152217020347,0.5,1.2771262630990108
"Malahide, Dublin",death,0.9259259259259259,0.925925925925926,0.9259259259259258
"Malahide, Dublin",middle,1.2672260910347612,1.1387929775579866,0.9433962264150939
"Malahide, Dublin",powerplay,1.014079811136151,1.1401049443878466,0.7633587786259525
Mangaung Oval,middle,0.8928571428571423,1.0777862109030958,1.1043354335433548
Mangaung Oval,powerplay,0.995970944409039,0.9345794392523363,0.9345794392523356
Manuka Oval,death,0.979649582772189,0.8772349158248812,1.0342304533700772
Manuka Oval,middle,0.6175074226120084,0.7106739258406692,1.3356732658190436
Manuka Oval,powerplay,1.0336803041688192,0.8633164607792364,0.7254942927097706
"Manuka Oval, Canberra",death,1.0869631884317665,0.852756385554157,0.784813324310375
"Manuka Oval, Canberra",middle,1.23525760764484,0.9741785734364585,0.9846413212749849
"Manuka Oval, Canberra",powerplay,0.9056912547347997,0.6810499063628663,1.0048616272838842
Maple Leaf North-West Ground,death,0.963150780539089,0.591715976331361,1.1084251695310234
Maple Leaf North-West Ground,middle,0.7830170428228881,0.7049398559279978,0.8467055401192288
Maple Leaf North-West Ground,powerplay,0.9162649019650988,0.7944348282702557,0.9389975421083577
"Marrara Stadium, Darwin",death,0.9882710028586825,0.7477670433466431,1.304342642117739
"Marrara Stadium, Darwin",middle,1.3086430974487213,1.2517177053386628,1.0615936169888172
"Marrara Stadium, Darwin",powerplay,1.0485010964054704,1.3760664229128579,1.5103795199472017
McLean Park,death,0.9774819400251011,1.5336521248454615,0.9886655302695061
McLean Park,middle,0.9949862292900622,1.170468920569041,0.9622371928822829
McLean Park,powerplay,0.9077497087370849,1.0086674894904355,1.0255941652546268
"McLean Park, Napier",death,0.992037582735352,0.7710636570422515,1.5393723449192076
"McLean Park, Napier",middle,0.9188465298431854,0.8272253411399977,0.63104881916763
"McLean Park, Napier",powerplay,0.919768898646846,1.2912391288267067,1.1678731245963092
Melbourne Cricket Ground,death,1.0055849577574925,0.518424617643202,1.2027403430626165
Melbourne Cricket Ground,middle,0.8368114770673526,0.6661884540407761,0.9975240318791696
Melbourne Cricket Ground,powerplay,0.9190815817814362,0.6355984394309239,1.1093496562655483
Moses Mabhida Stadium,death,0.7279937952576822,0.8501597641018915,0.9253045984153196
Moses Mabhida Stadium,middle,1.0210470738045194,0.8707058213551732,1.2657094280856653
Moses Mabhida Stadium,powerplay,1.0654918601894992,1.28381821429322,1.0145490684848926
Narendra Modi Stadium,death,1.214228379622994,0.8644077046249847,0.894069014448396
Narendra Modi Stadium,middle,1.1309181050291832,1.196179901523414,0.9482175698485886
Narendra Modi Stadium,powerplay,0.8855155020998354,1.107690523615924,0.8659406218880278
"Narendra Modi Stadium, Ahmedabad",death,0.9500399591402964,1.2526487196590854,1.0617926584265627
"Narendra Modi Stadium, Ahmedabad",middle,1.0875958198391784,1.416789202744104,1.0354231552492053
"Narendra Modi Stadium, Ahmedabad",powerplay,1.055239772475109,1.3472563212915525,1.0682073779791894
"Nassau County International Cricket Stadium, New York",death,0.8513085735615019,0.7812499999999997,1.073628974277041
"Nassau County International Cricket Stadium, New York",middle,0.5877740088692729,1.1548729862512872,1.262782729885893
"Nassau County International Cricket Stadium, New York",powerplay,0.6812536167119778,0.7659166549477319,0.6436436545578982
"National Cricket Stadium, Grenada",death,0.9523809523809524,1.0721456564587502,1.1899968806822947
"National Cricket Stadium, Grenada",middle,1.0513395146216495,0.9433962264150954,0.9433962264150939
"National Cricket Stadium, Grenada",powerplay,1.0688095817437633,0.8928571428571417,1.1206295771320567
"National Cricket Stadium, St George's, Grenada",death,0.6855039769808221,1.5253909266185361,1.0784864856335283
"National Cricket Stadium, St George's, Grenada",middle,0.7490133962128949,1.039318941534373,1.2015941089907316
"National Cricket Stadium, St George's, Grenada",powerplay,0.9077215097210953,1.5711837294332722,0.6442459769286517
National Stadium,death,1.007162636885848,0.9932586337804572,0.793650793650793
National Stadium,middle,0.9137820792495557,1.2438654590788176,1.3247773756967534
National Stadium,powerplay,1.1064551294492293,0.7936507936507934,1.198579565695085
Nehru Stadium,death,0.9384663794417433,0.839230257552743,1.2992443298007752
Nehru Stadium,middle,1.038360218653584,0.7069871550786171,0.7313210022827838
Nehru Stadium,powerplay,0.9505532079838505,0.5194985332256282,1.2411132903707853
New Wanderers Stadium,death,0.8942784212057812,0.9538544392718206,0.9961737311709871
New Wanderers Stadium,middle,1.0275906745782768,0.8532080824948693,0.9797509724908207
New Wanderers Stadium,powerplay,1.0095716143943598,0.8914176947031532,1.0197501446266761
