player,ipl_matches,t20i_matches,played_both_t20i_and_ipl,ipl_only_50_plus,eligible
DP Hyatt,0.0,5.0,False,False,False
DP Nannes,29.0,15.0,True,False,True
DP Vijaykumar,9.0,0.0,False,False,False
DPMD Jayawardene,80.0,51.0,True,False,True
DR Briggs,0.0,7.0,False,False,False
DR Flynn,0.0,5.0,False,False,False
DR Martyn,1.0,4.0,True,False,True
DR Mousley,0.0,4.0,False,False,False
DR Sams,16.0,10.0,True,False,True
DR Shorey,2.0,0.0,False,False,False
DR Smith,91.0,33.0,True,False,True
DR Tuffey,0.0,3.0,False,False,False
DS Kulkarni,92.0,2.0,True,False,True
DS Lehmann,2.0,0.0,False,False,False
DS Rathi,23.0,0.0,False,False,False
DS Smith,0.0,6.0,False,False,False
DSK Madushanka,0.0,2.0,False,False,False
DT Christian,49.0,23.0,True,False,True
DT Johnston,0.0,9.0,False,False,False
DT Patil,2.0,0.0,False,False,False
DT Tiripano,0.0,9.0,False,False,False
DV Malewar,2.0,0.0,False,False,False
DW Steyn,95.0,44.0,True,False,True
Danish Aziz,0.0,2.0,False,False,False
Dayyaan Galiem,0.0,1.0,False,False,False
Dhiman Ghosh,0.0,1.0,False,False,False
Dhruv Jurel,57.0,4.0,True,False,True
E Chigumbura,0.0,42.0,False,False,False
E Leie,0.0,2.0,False,False,False
E Lewis,27.0,56.0,True,False,True
E Malinga,22.0,11.0,True,False,True
EC Joyce,0.0,8.0,False,False,False
EC Rainsford,0.0,2.0,False,False,False
EJG Morgan,83.0,111.0,True,False,True
EMDY Munaweera,0.0,13.0,False,False,False
EP Thompson,0.0,1.0,False,False,False
ER Dwivedi,4.0,0.0,False,False,False
Ebadat Hossain,0.0,3.0,False,False,False
Elias Sunny,0.0,2.0,False,False,False
F Behardien,3.0,38.0,True,False,True
F Hand,0.0,11.0,False,False,False
F Mutizwa,0.0,3.0,False,False,False
F du Plessis,154.0,45.0,True,False,True
FA Allen,5.0,38.0,True,False,True
FH Allen,11.0,51.0,True,False,True
FH Edwards,6.0,26.0,True,False,True
FL Reifer,0.0,1.0,False,False,False
FY Fazal,12.0,0.0,False,False,False
Faheem Ashraf,0.0,71.0,False,False,False
Fakhar Zaman,0.0,99.0,False,False,False
Farhad Reza,0.0,8.0,False,False,False
Fawad Ahmed,0.0,2.0,False,False,False
Fawad Alam,0.0,21.0,False,False,False
Fazalhaq Farooqi,12.0,0.0,False,False,False
G Coetzee,14.0,17.0,True,False,True
G Gambhir,154.0,34.0,True,False,True
G Motie,0.0,41.0,False,False,False
G Wijekoon,0.0,2.0,False,False,False
GA Lamb,0.0,5.0,False,False,False
GA Stuurman,0.0,1.0,False,False,False
GB Brent,0.0,2.0,False,False,False
GB Hogg,21.0,15.0,True,False,True
GC Smith,29.0,30.0,True,False,True
GC Tonge,0.0,1.0,False,False,False
GC Viljoen,6.0,0.0,False,False,False
GC Wilson,0.0,19.0,False,False,False
GD Elliott,0.0,16.0,False,False,False
GD McGrath,14.0,2.0,True,False,True
GD Phillips,14.0,84.0,True,False,True
GE Mathurin,0.0,3.0,False,False,False
GF Linde,3.0,35.0,True,False,True
GH Bodi,0.0,1.0,False,False,False
GH Dockrell,0.0,60.0,False,False,False
GH Vihari,24.0,0.0,False,False,False
GH Worker,0.0,2.0,False,False,False
GHS Garton,5.0,1.0,True,False,True
GI Hume,0.0,9.0,False,False,False
GJ Bailey,40.0,29.0,True,False,True
GJ Batty,0.0,1.0,False,False,False
GJ Delany,0.0,41.0,False,False,False
GJ Hopkins,0.0,10.0,False,False,False
GJ Maxwell,141.0,123.0,True,False,True
GJ Snyman,0.0,1.0,False,False,False
GJ Thompson,0.0,2.0,False,False,False
GJP Kruger,0.0,1.0,False,False,False
GL Cloete,0.0,2.0,False,False,False
GO Jones,0.0,2.0,False,False,False
GP Swann,0.0,38.0,False,False,False
GR Adair,0.0,14.0,False,False,False
GR Napier,1.0,0.0,False,False,False
GS Ballance,0.0,1.0,False,False,False
GS Sandhu,3.0,0.0,False,False,False
GSNFG Jayasuriya,0.0,16.0,False,False,False
GW Aldridge,0.0,1.0,False,False,False
Gagandeep Singh,4.0,0.0,False,False,False
Gulbadin Naib,2.0,0.0,False,False,False
Gurjapneet Singh,8.0,0.0,False,False,False
Gurkeerat Singh,41.0,0.0,False,False,False
Gurnoor Brar,1.0,0.0,False,False,False
H Das,1.0,0.0,False,False,False
H Davids,0.0,9.0,False,False,False
H Klaasen,64.0,53.0,True,False,True
H Masakadza,0.0,48.0,False,False,False
H Sharma,2.0,0.0,False,False,False
HB Shipley,0.0,5.0,False,False,False
HC Brook,11.0,55.0,True,False,True
HD Rutherford,0.0,8.0,False,False,False
HDRL Thirimanne,0.0,25.0,False,False,False
HE van der Dussen,3.0,57.0,True,False,True
HF Gurney,8.0,2.0,True,False,True
HG Kuhn,0.0,7.0,False,False,False
HH Dippenaar,0.0,1.0,False,False,False
HH Gibbs,36.0,22.0,True,False,True
HH Pandya,162.0,126.0,True,False,True
HJH Marshall,0.0,3.0,False,False,False
HK Bennett,0.0,11.0,False,False,False
HM Amla,16.0,39.0,True,False,True
HM Nicholls,0.0,10.0,False,False,False
HMCM Bandara,0.0,4.0,False,False,False
HMRKB Herath,0.0,15.0,False,False,False
HR Shokeen,13.0,0.0,False,False,False
HR Walsh,0.0,29.0,False,False,False
HT Tector,0.0,51.0,False,False,False
HV Patel,123.0,25.0,True,False,True
Haider Ali,0.0,33.0,False,False,False
Hammad Azam,0.0,5.0,False,False,False
Harbhajan Singh,163.0,25.0,True,False,True
Haris Rauf,0.0,83.0,False,False,False
Haris Sohail,0.0,14.0,False,False,False
Harmeet Singh,28.0,0.0,False,False,False
