player,balls_faced_events,legal_balls_bowled,t20i_matches,ipl_matches,played_both_t20i_and_ipl,ipl_only_50_plus,eligible,can_bowl,role
Liton Das,941.0,0.0,94.0,1.0,True,False,True,False,Batter
GC Smith,933.0,23.0,30.0,29.0,True,False,True,False,Batter
C Munro,928.0,95.0,65.0,13.0,True,False,True,True,All-rounder
DJ Mitchell,925.0,128.0,90.0,15.0,True,False,True,True,All-rounder
HH Gibbs,921.0,0.0,22.0,36.0,True,False,True,False,Batter
MC Henriques,906.0,959.0,24.0,62.0,True,False,True,True,All-rounder
V Shankar,903.0,290.0,9.0,78.0,True,False,True,True,All-rounder
GD Phillips,897.0,165.0,84.0,14.0,True,False,True,True,All-rounder
MS Wade,895.0,0.0,87.0,15.0,True,False,True,False,Batter
RM Patidar,876.0,0.0,0.0,57.0,False,True,True,False,Batter
TL Seifert,873.0,0.0,83.0,6.0,True,False,True,False,Batter
MN Samuels,856.0,538.0,62.0,15.0,True,False,True,True,All-rounder
ML Hayden,851.0,0.0,9.0,32.0,True,False,True,False,Batter
R Tewatia,844.0,815.0,0.0,124.0,False,True,True,True,All-rounder
JA Morkel,843.0,1930.0,46.0,90.0,True,False,True,True,All-rounder
RS Bopara,834.0,452.0,36.0,24.0,True,False,True,True,All-rounder
NLTC Perera,803.0,1371.0,78.0,37.0,True,False,True,True,All-rounder
M Vohra,790.0,0.0,0.0,56.0,False,True,True,False,Batter
A Symonds,784.0,578.0,14.0,39.0,True,False,True,True,All-rounder
R Ashwin,780.0,5271.0,59.0,219.0,True,False,True,True,All-rounder
SD Hope,774.0,0.0,64.0,9.0,True,False,True,False,Batter
C Green,767.0,616.0,23.0,43.0,True,False,True,True,All-rounder
A Badoni,764.0,39.0,0.0,66.0,False,True,True,False,Batter
ST Jayasuriya,747.0,499.0,29.0,30.0,True,False,True,True,All-rounder
Washington Sundar,740.0,1671.0,53.0,83.0,True,False,True,True,All-rounder
Sikandar Raza,730.0,584.0,71.0,9.0,True,False,True,True,All-rounder
GJ Bailey,722.0,0.0,29.0,40.0,True,False,True,False,Batter
Shahid Afridi,715.0,1594.0,91.0,10.0,True,False,True,True,All-rounder
HE van der Dussen,713.0,0.0,57.0,3.0,True,False,True,False,Batter
SE Rutherford,706.0,56.0,47.0,31.0,True,False,True,False,Batter
JO Holder,705.0,2494.0,88.0,57.0,True,False,True,True,All-rounder
Y Venugopal Rao,705.0,200.0,0.0,65.0,False,True,True,True,All-rounder
RR Rossouw,701.0,0.0,28.0,22.0,True,False,True,False,Batter
KR Mayers,689.0,101.0,37.0,13.0,True,False,True,True,All-rounder
MJ Santner,682.0,2247.0,122.0,35.0,True,False,True,True,All-rounder
Kamran Akmal,670.0,0.0,52.0,6.0,True,False,True,False,Batter
JM Sharma,664.0,0.0,12.0,71.0,True,False,True,False,Batter
STR Binny,653.0,555.0,3.0,95.0,True,False,True,True,All-rounder
JP Inglis,638.0,0.0,42.0,17.0,True,False,True,False,Batter
SW Billings,632.0,0.0,36.0,30.0,True,False,True,False,Batter
JD Ryder,624.0,268.0,21.0,29.0,True,False,True,True,All-rounder
Harbhajan Singh,616.0,3634.0,25.0,163.0,True,False,True,True,All-rounder
RD Rickelton,614.0,0.0,26.0,26.0,True,False,True,False,Batter
HC Brook,607.0,0.0,55.0,11.0,True,False,True,False,Batter
Dhruv Jurel,597.0,0.0,4.0,57.0,True,False,True,False,Batter
D Brevis,595.0,3.0,27.0,27.0,True,False,True,False,Batter
