batter,avg_batting_position,innings_seen
XC Bartlett,7.363636363636363,11
SL Malinga,7.372093023255814,43
M Morkel,7.375,24
A Mishra,7.384615384615385,52
PJ Cummins,7.4,70
Joginder Sharma,7.4,5
Parvez Rasool,7.4,5
J Theron,7.428571428571429,7
R Vinay Kumar,7.461538461538462,39
RP Singh,7.464285714285714,28
Mohammad Asif,7.5,4
S Gopal,7.523809523809524,21
S Sreesanth,7.538461538461538,13
MG Johnson,7.564102564102564,39
JW Hastings,7.6,5
T Thushara,7.6,5
NM Coulter-Nile,7.62962962962963,27
CJ Jordan,7.636363636363637,55
R Sharma,7.705882352941177,17
BE Hendricks,7.75,4
Harshit Rana,7.75,12
Kuldeep Yadav,7.75,48
K Rabada,7.7592592592592595,54
SA Abbott,7.769230769230769,13
SW Tait,7.777777777777778,9
P Awana,7.8,5
JA Richardson,7.8,10
AJ Tye,7.818181818181818,22
KJ Abbott,7.888888888888889,9
Noor Ahmad,7.909090909090909,11
A Nortje,7.961538461538462,26
MM Patel,8.0,9
M de Lange,8.0,1
KW Richardson,8.0,9
S Randiv,8.0,2
BAW Mendis,8.0,8
JP Behrendorff,8.0,4
Ravi Bishnoi,8.074074074074074,27
Shivam Mavi,8.076923076923077,13
MJ McClenaghan,8.090909090909092,22
DL Chahar,8.090909090909092,22
T Shamsi,8.090909090909092,11
GB Hogg,8.142857142857142,7
NT Ellis,8.2,15
Z Khan,8.206896551724139,29
AU Rashid,8.25,36
SS Cottrell,8.272727272727273,11
JA Duffy,8.285714285714286,7
LE Plunkett,8.3,10
L Balaji,8.307692307692308,13
M Ntini,8.333333333333334,6
L Wood,8.333333333333334,3
JL Pattinson,8.333333333333334,3
RD Chahar,8.35,20
I Sharma,8.35,20
B Kumar,8.372093023255815,86
N Thushara,8.4,5
S Nadeem,8.4,20
UT Yadav,8.425531914893616,47
PP Ojha,8.444444444444445,18
Mohammed Shami,8.457142857142857,35
JD Unadkat,8.464285714285714,28
LH Ferguson,8.5,16
Navdeep Saini,8.5,10
RP Meredith,8.5,2
R Sai Kishore,8.666666666666666,3
TA Boult,8.696969696969697,33
DS Kulkarni,8.722222222222221,18
DP Nannes,8.75,4
C Sakariya,8.75,8
SH Johnson,8.8,5
CJ McKay,8.8,5
BB Sran,8.8,5
MM Sharma,8.8,30
S Aravind,8.8,10
VR Aaron,8.818181818181818,11
Avesh Khan,8.833333333333334,18
TU Deshpande,8.88888888888889,9
M Markande,8.88888888888889,9
OC McCoy,8.9,10
Imran Tahir,8.909090909090908,11
Mohammed Siraj,8.916666666666666,24
CV Varun,8.944444444444445,18
Mukesh Kumar,9.0,8
TS Mills,9.0,9
SB Jakati,9.0,5
V Viyaskanth,9.0,1
BW Hilfenhaus,9.0,3
Arshdeep Singh,9.066666666666666,30
A Zampa,9.08,25
S Kaul,9.11111111111111,9
Sandeep Sharma,9.115384615384615,26
AB Dinda,9.125,16
M Muralitharan,9.125,8
JR Hazlewood,9.23076923076923,13
A Nehra,9.238095238095237,21
KK Ahmed,9.25,8
RJW Topley,9.285714285714286,7
Umran Malik,9.285714285714286,7
MA Wood,9.3,10
JJ Bumrah,9.352941176470589,34
T Natarajan,9.5,2
M Prasidh Krishna,9.625,8
O Thomas,9.666666666666666,3
YS Chahal,9.714285714285714,21
DE Bollinger,10.0,5
B Laughlin,10.0,4
B Stanlake,10.0,2
RJ Gleeson,10.333333333333334,3
S Tyagi,11.0,1
HF Gurney,11.0,1
