batter,phase,outcome,n,total_n,probability_raw,fallback_probability,probability
AJ Finch,powerplay,1,396.0,1633.0,0.2424984690753215,0.25764450947345025,0.24286059795513332
AJ Finch,powerplay,2,102.0,1633.0,0.062461726883037354,0.04384827662845184,0.06201669519733298
AJ Finch,powerplay,3,9.0,1633.0,0.005511328842620943,0.005028429611245902,0.0054997831347578215
AJ Finch,powerplay,4,253.0,1633.0,0.15492957746478872,0.15223269683107069,0.1548650973540005
AJ Finch,powerplay,6,51.0,1633.0,0.031230863441518677,0.040523771600022226,0.0314530489324572
AJ Finch,powerplay,W,68.0,1633.0,0.041641151255358236,0.03919952586446391,0.041582774079245995
AJ Finch,powerplay,Wd,50.0,1633.0,0.03061849357011635,0.03486563072990943,0.030720038989358267
AJ Finch,powerplay,Nb,9.0,1633.0,0.005511328842620943,0.003769007093512122,0.005469671418852651
AJ Hosein,death,0,31.0,108.0,0.28703703703703703,0.21696977459016392,0.2680999390784227
AJ Hosein,death,1,43.0,108.0,0.39814814814814814,0.37083760245901637,0.39076691958351795
AJ Hosein,death,2,6.0,108.0,0.05555555555555555,0.08837090163934426,0.06442456801063359
AJ Hosein,death,3,0.0,108.0,0.0,0.002651127049180328,0.0007165208241027913
AJ Hosein,death,4,11.0,108.0,0.10185185185185185,0.11151383196721311,0.10446319782897652
AJ Hosein,death,6,7.0,108.0,0.06481481481481481,0.07952100409836066,0.06878946056712451
AJ Hosein,death,W,7.0,108.0,0.06481481481481481,0.08016137295081967,0.06896253322995126
AJ Hosein,death,Wd,3.0,108.0,0.027777777777777776,0.04340420081967213,0.032001135356668146
AJ Hosein,death,Nb,0.0,108.0,0.0,0.006570184426229508,0.0017757255206025699
AJ Hosein,middle,0,45.0,92.0,0.4891304347826087,0.2808889845966761,0.42602696502929577
AJ Hosein,middle,1,28.0,92.0,0.30434782608695654,0.4414331678151601,0.3458888387318667
AJ Hosein,middle,2,4.0,92.0,0.043478260869565216,0.06664217673287394,0.0504976293129921
AJ Hosein,middle,3,0.0,92.0,0.0,0.002286430887717876,0.0006928578447629927
AJ Hosein,middle,4,2.0,92.0,0.021739130434782608,0.08739739562221321,0.041635574430973696
AJ Hosein,middle,6,4.0,92.0,0.043478260869565216,0.048281059991892986,0.04493365454299787
AJ Hosein,middle,W,6.0,92.0,0.06521739130434782,0.04221980137819214,0.05824842466005822
AJ Hosein,middle,Wd,2.0,92.0,0.021739130434782608,0.028171868666396434,0.02368844505042316
AJ Hosein,middle,Nb,1.0,92.0,0.010869565217391304,0.002679114308877179,0.008387610396629448
AJ Turner,death,0,16.0,58.0,0.27586206896551724,0.21696977459016392,0.25182439779190363
AJ Turner,death,1,27.0,58.0,0.46551724137931033,0.37083760245901637,0.42687249079959855
AJ Turner,death,2,3.0,58.0,0.05172413793103448,0.08837090163934426,0.06668200066912011
AJ Turner,death,3,0.0,58.0,0.0,0.002651127049180328,0.0010820926731348276
AJ Turner,death,4,3.0,58.0,0.05172413793103448,0.11151383196721311,0.07612809468049515
AJ Turner,death,6,0.0,58.0,0.0,0.07952100409836066,0.032457552693208436
AJ Turner,death,W,8.0,58.0,0.13793103448275862,0.08016137295081967,0.11435158079625292
AJ Turner,death,Wd,0.0,58.0,0.0,0.04340420081967213,0.017716000334560056
