venue,phase,outcome,n,total_n,probability_raw,fallback_probability,probability
"Bellerive Oval, Hobart",middle,Wd,5.0,211.0,0.023696682464454975,0.028171868666396434,0.02513564908887345
"Bellerive Oval, Hobart",middle,Nb,1.0,211.0,0.004739336492890996,0.002679114308877179,0.004076885629864045
"Bellerive Oval, Hobart",powerplay,0,45.0,139.0,0.3237410071942446,0.4228881521678736,0.3652251682710768
"Bellerive Oval, Hobart",powerplay,1,41.0,139.0,0.2949640287769784,0.25764450947345025,0.27934916714370306
"Bellerive Oval, Hobart",powerplay,2,8.0,139.0,0.05755395683453238,0.04384827662845184,0.05181936260604679
"Bellerive Oval, Hobart",powerplay,3,1.0,139.0,0.007194244604316547,0.005028429611245902,0.0062880458624459835
"Bellerive Oval, Hobart",powerplay,4,25.0,139.0,0.17985611510791366,0.15223269683107069,0.16829819951090824
"Bellerive Oval, Hobart",powerplay,6,8.0,139.0,0.05755395683453238,0.040523771600022226,0.05042835631800093
"Bellerive Oval, Hobart",powerplay,W,6.0,139.0,0.04316546762589928,0.03919952586446391,0.04150607776755812
"Bellerive Oval, Hobart",powerplay,Wd,2.0,139.0,0.014388489208633094,0.03486563072990943,0.022956330849334492
"Bellerive Oval, Hobart",powerplay,Nb,3.0,139.0,0.02158273381294964,0.003769007093512122,0.014129291670925576
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,death,0,12.0,44.0,0.2727272727272727,0.21696977459016392,0.2340067879098361
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,death,1,16.0,44.0,0.36363636363636365,0.37083760245901637,0.36863722392987247
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,death,2,4.0,44.0,0.09090909090909091,0.08837090163934426,0.08914645947176686
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,death,3,0.0,44.0,0.0,0.002651127049180328,0.0018410604508196722
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,death,4,7.0,44.0,0.1590909090909091,0.11151383196721311,0.12605127219945356
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,death,6,4.0,44.0,0.09090909090909091,0.07952100409836066,0.08300069729052824
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,death,W,1.0,44.0,0.022727272727272728,0.08016137295081967,0.06261206454918032
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,death,Wd,0.0,44.0,0.0,0.04340420081967213,0.030141806124772314
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,death,Nb,0.0,44.0,0.0,0.006570184426229508,0.004562628073770492
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,middle,0,37.0,97.0,0.38144329896907214,0.2808889845966761,0.33040049979526703
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,middle,1,31.0,97.0,0.31958762886597936,0.4414331678151601,0.3814381562513503
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,middle,2,9.0,97.0,0.09278350515463918,0.06664217673287394,0.07951379529587509
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,middle,3,0.0,97.0,0.0,0.002286430887717876,0.0011606248161004447
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,middle,4,8.0,97.0,0.08247422680412371,0.08739739562221321,0.08497329727015901
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,middle,6,3.0,97.0,0.030927835051546393,0.048281059991892986,0.039736578676087805
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,middle,W,5.0,97.0,0.05154639175257732,0.04221980137819214,0.04681208191786403
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,middle,Wd,4.0,97.0,0.041237113402061855,0.028171868666396434,0.03460500947532814
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,middle,Nb,0.0,97.0,0.0,0.002679114308877179,0.0013599565019681112
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,powerplay,0,30.0,62.0,0.4838709677419355,0.4228881521678736,0.4462272544246133
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,powerplay,1,16.0,62.0,0.25806451612903225,0.25764450947345025,0.25780525276138905
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,powerplay,2,0.0,62.0,0.0,0.04384827662845184,0.02706683742497027
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,powerplay,3,0.0,62.0,0.0,0.005028429611245902,0.0031039688958308036
